,song_id,up_votes/total_votes,up_votes,down_votes,difficulty,notes,bombs,BPM,obstacles,NJS,NJSOffset,length,duration
93,33700.0,0.9354838709677419,29.0,2.0,0.0,0.0,0.0,125.0,0.0,21.0,0.4000000059604645,0.0,0.0
94,33700.0,0.9354838709677419,29.0,2.0,4.0,941.0,0.0,125.0,28.0,21.0,0.4000000059604645,196.0,410.2604064941406
95,33703.0,0.8529411764705882,29.0,5.0,4.0,2564.0,177.0,256.0,37.0,21.0,0.30000001192092896,265.0,1133.28662109375
96,33704.0,0.9047619047619048,19.0,2.0,3.0,649.0,0.0,117.0,10.0,16.0,0.0,189.0,369.5975036621094
97,33706.0,0.9473684210526315,36.0,2.0,3.0,804.0,42.0,106.0,106.0,19.0,0.10000000149011612,230.0,407.4884948730469
98,33707.0,0.75,3.0,1.0,4.0,716.0,41.0,170.0,36.0,16.0,0.0,211.0,598.0330200195312
99,33707.0,0.75,3.0,1.0,2.0,465.0,0.0,170.0,0.0,16.0,0.0,212.0,602.5330200195312
100,33709.0,0.1,1.0,9.0,4.0,1945.0,62.0,147.0,34.0,23.0,-0.5,151.0,371.45098876953125
101,33711.0,0.8809523809523809,37.0,5.0,4.0,1374.0,37.0,148.0,37.0,20.0,-0.30000001192092896,226.0,557.890625
102,33712.0,0.945273631840796,190.0,11.0,3.0,183.0,0.0,120.0,0.0,18.0,0.0,31.0,62.0
103,33712.0,0.945273631840796,190.0,11.0,4.0,187.0,0.0,120.0,0.0,21.0,0.0,31.0,62.0
104,33712.0,0.945273631840796,190.0,11.0,2.0,121.0,0.0,120.0,0.0,15.0,0.0,31.0,62.0
105,33713.0,1.0,2.0,0.0,2.0,420.0,72.0,123.74400329589844,42.0,12.0,0.0,171.0,354.0
106,33715.0,1.0,8.0,0.0,3.0,613.0,0.0,86.0,2.0,15.0,0.0,179.0,257.75
107,33715.0,1.0,8.0,0.0,2.0,322.0,0.0,86.0,2.0,12.0,0.0,179.0,257.75
108,33715.0,1.0,8.0,0.0,1.0,184.0,0.0,86.0,0.0,10.0,0.0,179.0,257.75
109,33716.0,0.782608695652174,18.0,5.0,3.0,477.0,0.0,100.0,6.0,12.0,0.0,122.0,204.0
110,33716.0,0.782608695652174,18.0,5.0,2.0,371.0,0.0,100.0,6.0,12.0,0.0,122.0,204.0
111,33717.0,0.6,9.0,6.0,4.0,893.0,0.0,98.30999755859375,28.0,14.0,0.0,177.0,291.375
112,33718.0,0.5,1.0,1.0,3.0,425.0,0.0,108.0,3.0,15.0,0.0,138.0,249.75
113,33720.0,0.8974358974358975,35.0,4.0,4.0,860.0,43.0,135.0,42.0,12.0,0.0,150.0,338.3784484863281
114,33721.0,0.9069767441860465,39.0,4.0,0.0,216.0,0.0,155.0,0.0,12.0,7.0,177.0,458.0
115,33721.0,0.9069767441860465,39.0,4.0,3.0,751.0,30.0,155.0,29.0,15.5,0.0,177.0,458.0
116,33721.0,0.9069767441860465,39.0,4.0,2.0,613.0,4.0,155.0,29.0,13.0,2.0,177.0,458.0
117,33721.0,0.9069767441860465,39.0,4.0,1.0,416.0,2.0,155.0,0.0,12.0,5.0,238.0,616.0
118,33723.0,0.2916666666666667,7.0,17.0,4.0,1109.0,8.0,184.0,7.0,22.0,0.0,136.0,420.0
119,33724.0,1.0,13.0,0.0,3.0,144.0,772.0,120.0,12.0,0.0,0.0,122.0,244.5
120,33725.0,0.8888888888888888,32.0,4.0,0.0,103.0,0.0,128.0,12.0,10.0,1.0,76.0,164.0
